Galaxy Name,m-M,err,D,Method,REFCODE,RA,Dec,GLON,GLAT,Type (RC3),Vgsr (RC3)
,(mag),(mag),(Mpc),,,(J2000),(J2000),,,,(km/s)
NGC 4278,31.08,0.2,16.5,SBF,2001MNRAS.327.1004B,20:06.8,+29:16:50.7,193.8,82.8,E.1+,647
NGC 4278,31.41,0.41,19.2,FP,2001MNRAS.327.1004B,20:06.8,+29:16:50.7,193.8,82.8,E.1+,647
NGC 4278,31.67,...,21.6,FP,LEDA [April 2006],20:06.8,+29:16:50.7,193.8,82.8,E.1+,647
NGC 4291,31.93,0.32,24.3,SBF,2003ApJ...583..712J,20:17.8,+75:22:15.2,125.6,41.6,E,1898
NGC 4291,32.09,0.32,26.2,SBF,2001ApJ...546..681T,20:17.8,+75:22:15.2,125.6,41.6,E,1898
NGC 4291,32.22,0.32,27.7,SBF,2001MNRAS.327.1004B,20:17.8,+75:22:15.2,125.6,41.6,E,1898
NGC 4291,32.97,0.41,39.2,FP,2001MNRAS.327.1004B,20:17.8,+75:22:15.2,125.6,41.6,E,1898
NGC 4283,30.98,0.19,15.7,SBF,2001ApJ...546..681T,20:20.8,+29:18:39.2,193.4,82.8,E.0,1057
NGC 4283,31.03,0.19,16.1,SBF,2001MNRAS.327.1004B,20:20.8,+29:18:39.2,193.4,82.8,E.0,1057
NGC 4283,31.14,0.41,16.9,FP,2001MNRAS.327.1004B,20:20.8,+29:18:39.2,193.4,82.8,E.0,1057
NGC 4281,31.94,0.28,24.4,SBF,2001ApJ...546..681T,20:21.5,+05:23:11.1,282.8,67,L..+*/,2604
UGC 07399A,29.94,...,9.7,GC radius,2005ApJ...634.1002J,20:48.8,+17:29:13.4,265.1,78,"dE5;N",1430
ESO 573- G 014,34.88*,0.22,92.5,SNIa,2006ApJ...645..488W,21:15.8,-21:59:44.7,293.7,40.3,S?,6750
ESO 573- G 014,35.118*,0.021,103,SNIa,2006ApJ...647..501P,21:15.8,-21:59:44.7,293.7,40.3,S?,6750
"CS 1036; BTS 128",31.02,0.25,16,SBF,2005A&A...437..823R,21:20.2,+29:42:54.6,189.8,82.9,"(dE5; N)?",1138
IC 0783,31.31,0.16,18.3,SBF,2004AJ....127..771J,21:38.8,+15:44:42.7,270.1,76.7,SXT0$,1220
NGC 4302,33.45,...,49,SNII rad,1998ApJ...500...51W,21:42.5,+14:35:51.9,272.5,75.7,S..5*/,1058
ESO 321- G 025,31.05,0.28,16.2,Sosies,2002A&A...393...57T,21:42.9,-39:46:10.2,296.7,22.7,SBT6P*,2029
UGC 07436,30.43,...,12.2,GC radius,2005ApJ...634.1002J,22:19.5,+14:45:38.3,272.7,75.9,dE5,935
"M100; NGC 4321",30.76,0.07,14.2,Cepheids,2003A&A...411..361K,22:54.9,+15:49:20.6,271.1,76.9,SXS4,1540
"M100; NGC 4321",30.77,0.07,14.3,Cepheids,2003A&A...411..361K,22:54.9,+154:9:20.6,271.1,76.9,SXS4,1540
"M100; NGC 4321",30.78,0.07,14.3,Cepheids,2001ApJ...553...47F,22:54.9,+15:49:20.6,271.1,76.9,SXS4,1540
"M100; NGC 4321",30.8,0.07,14.4,Cepheids,2003A&A...411..361K,22:54.9,+15:49:20.6,271.1,76.9,SXS4,1540
"M100; NGC 4321",30.8,0.06,14.5,Cepheids,2001ApJ...548..564W,22:54.9,+15:49:20.6,271.1,76.9,SXS4,1540
"M100; NGC 4321",30.82,0.09,14.6,Cepheids,1997ApJ...491...13K,22:54.9,+15:49:20.6,271.1,76.9,SXS4,1540
"M100; NGC 4321",30.87,0.07,14.9,Cepheids,2003A&A...411..361K,22:54.9,+15:49:20.6,271.1,76.9,SXS4,1540
"M100; NGC 4321",30.9,0.07,15.1,Cepheids,2003A&A...411..361K,22:54.9,+15:49:20.6,271.1,76.9,SXS4,1540
"M100; NGC 4321",30.91,0.07,15.2,Cepheids,2001ApJ...553...47F,22:54.9,+15:49:20.6,271.1,76.9,SXS4,1540
"M100; NGC 4321",30.93,0.07,15.3,Cepheids,2003A&A...411..361K,22:54.9,+15:49:20.6,271.1,76.9,SXS4,1540
"M100; NGC 4321",30.96,0.07,15.6,Cepheids,2000ApJ...530L...5G,22:54.9,+15:49:20.6,271.1,76.9,SXS4,1540
"M100; NGC 4321",30.98,0.08,15.7,Cepheids,2002A&A...389...19P,22:54.9,+15:49:20.6,271.1,76.9,SXS4,1540
"M100; NGC 4321",31.01,0.07,15.9,Cepheids,2003A&A...411..361K,22:54.9,+15:49:20.6,271.1,76.9,SXS4,1540
"M100; NGC 4321",31.03,0.06,16.1,Cepheids,1997ApJ...486...60D,22:54.9,+15:49:20.6,271.1,76.9,SXS4,1540
"M100; NGC 4321",31.03,0.06,16.1,Cepheids,1997ApJ...486...60D,22:54.9,+15:49:20.6,271.1,76.9,SXS4,1540
"M100; NGC 4321",31.04,0.09,16.1,Cepheids,1996ApJ...464..568F,22:54.9,+15:49:20.6,271.1,76.9,SXS4,1540
"M100; NGC 4321",31.1,0.15,16.6,Cepheids,1997ApJ...491...13K,22:54.9,+15:49:20.6,271.1,76.9,SXS4,1540
"M100; NGC 4321",31.15,0.18,17,Cepheids,2000ApJ...530L...5G,22:54.9,+15:49:20.6,271.1,76.9,SXS4,1540
"M100; NGC 4321",31.18,0.05,17.2,Cepheids,2006ApJS..165..108S,22:54.9,+15:49:20.6,271.1,76.9,SXS4,1540
"M100; NGC 4321",31.19,0.1,17.3,Cepheids,2000ApJ...529..768K,22:54.9,+15:49:20.6,271.1,76.9,SXS4,1540
"M100; NGC 4321",31.22,0.24,17.5,Cepheids,2002A&A...389...19P,22:54.9,+15:49:20.6,271.1,76.9,SXS4,1540
"M100; NGC 4321",31.35,0.06,18.6,Cepheids,2002A&A...389...19P,22:54.9,+15:49:20.6,271.1,76.9,SXS4,1540
"M100; NGC 4321",31.44,0.03,19.4,Cepheids,1997hipp.conf..629P,22:54.9,+15:49:20.6,271.1,76.9,SXS4,1540
"M100; NGC 4321",31.49,0.4,19.9,Cepheids,2000ASPC..203..229M,22:54.9,+15:49:20.6,271.1,76.9,SXS4,1540
"M100; NGC 4321",31.6,0.03,20.9,Cepheids,1997hipp.conf..629P,22:54.9,+15:49:20.6,271.1,76.9,SXS4,1540
"M100; NGC 4321",30.78,...,14.3,Tully-Fisher,LEDA [April 2006],22:54.9,+15:49:20.6,271.1,76.9,SXS4,1540
"M100; NGC 4321",30.91,...,15.2,Tully-Fisher,2003astro.ph.10284R,22:54.9,+15:49:20.6,271.1,76.9,SXS4,1540
"M100; NGC 4321",30.94,...,15.4,Tully-Fisher,2003astro.ph.10284R,22:54.9,+15:49:20.6,271.1,76.9,SXS4,1540
"M100; NGC 4321",31.43,...,19.3,HII,2005JKAS...38....7I,22:54.9,+15:49:20.6,271.1,76.9,SXS4,1540
"M100; NGC 4321",30.88,...,15,SNII opt,1996ApJ...466..911E,22:54.9,+15:49:20.6,271.1,76.9,SXS4,1540
"M100; NGC 4321",31.09,...,16.5,SNII opt,2003ApJ...591..301B,22:54.9,+15:49:20.6,271.1,76.9,SXS4,1540
"M100; NGC 4321",31.48,...,19.8,SNII opt,2003ApJ...591..301B,22:54.9,+15:49:20.6,271.1,76.9,SXS4,1540
"M100; NGC 4321",31.52,...,20.1,SNII rad,1998ApJ...500...51W,22:54.9,+15:49:20.6,271.1,76.9,SXS4,1540
"M100; NGC 4321",31,0.3,15.8,Novae,1996ApJ...468L..95F,22:54.9,+15:49:20.6,271.1,76.9,SXS4,1540
NGC 4346,30.78,0.17,14.3,SBF,2001ApJ...546..681T,23:27.9,+46:59:37.8,136.6,69.4,L..../,843
NGC 4339,31.08,0.18,16.4,SBF,2001ApJ...546..681T,23:34.9,+06:04:54.3,284.2,67.9,E.0,1204
NGC 4339,31.13,0.18,16.8,SBF,2001MNRAS.327.1004B,23:34.9,+06:04:54.3,284.2,67.9,E.0,1204
NGC 4339,31.03,0.41,16.1,FP,2001MNRAS.327.1004B,23:34.9,+06:04:54.3,284.2,67.9,E.0,1204
IC 3253,32.27,0.15,28.4,Sosies,2002A&A...393...57T,23:45.2,-34:37:19.9,296.5,27.9,SAS5*,2553
NGC 4352,30.64,...,13.4,GC radius,2005ApJ...634.1002J,24:05.0,+11:13:05.0,279.6,72.8,LA..*/,2046
NGC 4365,31.6,0.3,20.9,GCLF,1996AJ....112..954F,24:28.2,+07:19:03.1,283.8,69.2,E.3,1154
NGC 4365,31.68,0.17,21.7,GCLF,2001AJ....121.2950K,24:28.2,+07:19:03.1,283.8,69.2,E.3,1154
NGC 4365,31.8,0.27,22.9,GCLF,1993AJ....105.1358S,24:28.2,+07:19:03.1,283.8,69.2,E.3,1154
NGC 4365,31.96,0.14,24.7,GCLF,1991ApJS...76..115H,24:28.2,+07:19:03.1,283.8,69.2,E.3,1154
NGC 4365,31.55,0.17,20.4,SBF,2001ApJ...546..681T,24:28.2,+07:19:03.1,283.8,69.2,E.3,1154
NGC 4365,31.57,0.17,20.6,SBF,2001MNRAS.327.1004B,24:28.2,+07:19:03.1,283.8,69.2,E.3,1154
NGC 4365,31.7,0.11,21.9,SBF,1998ApJ...505..111J,24:28.2,+07:19:03.1,283.8,69.2,E.3,1154
NGC 4365,31.7,0.09,21.9,SBF,1998ApJ...505..111J,24:28.2,+07:19:03.1,283.8,69.2,E.3,1154
NGC 4365,31.71,0.1,22,SBF,1994ApJ...433..567P,24:28.2,+07:19:03.1,283.8,69.2,E.3,1154
NGC 4365,31.27,...,17.9,FP,LEDA [April 2006],24:28.2,+07:19:03.1,283.8,69.2,E.3,1154
NGC 4365,31.59,...,20.8,FP,2000ApJ...529..768K,24:28.2,+07:19:03.1,283.8,69.2,E.3,1154
NGC 4365,31.64,0.41,21.3,FP,2001MNRAS.327.1004B,24:28.2,+07:19:03.1,283.8,69.2,E.3,1154
NGC 4365,31.69,...,21.8,GC radius,2005ApJ...634.1002J,24:28.2,+07:19:03.1,283.8,69.2,E.3,1154
NGC 4386,32.16,0.49,27,SBF,2001ApJ...546..681T,24:28.4,+75:31:44.1,125.2,41.5,LX.0*,1820
NGC 4371,30.82,...,14.6,GC radius,2005ApJ...634.1002J,24:55.4,+11:42:15.4,279.7,73.4,LBR+,892
"M84; NGC 4374",30.89,0.11,15.1,PNLF,2002ApJ...577...31C,25:03.7,+12:53:13.1,278.2,74.5,E.1,902
"M84; NGC 4374",30.98,...,15.7,PNLF,1990ApJ...356..332J,25:03.7,+12:53:13.1,278.2,74.5,E.1,902
"M84; NGC 4374",31.08,0.3,16.4,GCLF,1994AJ....108.2087A,25:03.7,+12:53:13.1,278.2,74.5,E.1,902
"M84; NGC 4374",31.61,0.2,21,GCLF,2004A&A...415..499G,25:03.7,+12:53:13.1,278.2,74.5,E.1,902
"M84; NGC 4374",31.14,0.1,16.9,SBF,1994ApJ...433..567P,25:03.7,+12:53:13.1,278.2,74.5,E.1,902
"M84; NGC 4374",31.32,0.11,18.4,SBF,2001ApJ...559..584A,25:03.7,+12:53:13.1,278.2,74.5,E.1,902
"M84; NGC 4374",31.32,0.11,18.4,SBF,2001ApJ...546..681T,25:03.7,+12:53:13.1,278.2,74.5,E.1,902
"M84; NGC 4374",31.33,0.11,18.5,SBF,2001MNRAS.327.1004B,25:03.7,+12:53:13.1,278.2,74.5,E.1,902
"M84; NGC 4374",30.35*,0.19,11.7,SNIa,2006ApJ...645..488W,25:03.7,+12:53:13.1,278.2,74.5,E.1,902
"M84; NGC 4374",31,...,15.8,FP,LEDA [April 2006],25:03.7,+12:53:13.1,278.2,74.5,E.1,902
"M84; NGC 4374",31.26,...,17.9,FP,2000ApJ...529..768K,25:03.7,+12:53:13.1,278.2,74.5,E.1,902
"M84; NGC 4374",31.29,0.41,18.1,FP,2001MNRAS.327.1004B,25:03.7,+12:53:13.1,278.2,74.5,E.1,902
"M84; NGC 4374",31.22,...,17.5,GC radius,2005ApJ...634.1002J,25:03.7,+12:53:13.1,278.2,74.5,E.1,902
NGC 4377,31.22,...,17.5,GC radius,2005ApJ...634.1002J,25:12.3,+14:45:43.8,275.3,76.2,LA.-,1310
NGC 4379,30.76,0.41,14.2,SBF,2001ApJ...546..681T,25:14.7,+15:36:26.9,273.8,77,L..-P*,1010
NGC 4379,31.01,...,15.9,GC radius,2005ApJ...634.1002J,25:14.7,+15:36:26.9,273.8,77,L..-P*,1010
NGC 4373,33.29,0.19,45.5,SBF,2001MNRAS.327.1004B,25:17.8,-39:45:35.0,297.5,22.8,LXT-*,3213
NGC 4373,32.71,0.41,34.9,FP,2001MNRAS.327.1004B,25:17.8,-39:45:35.0,297.5,22.8,LXT-*,3213
NGC 4391,31.9,0.27,24,SBF,2001ApJ...546..681T,25:18.8,+64:56:00.5,127.4,52,LA.-*,1480
"M85; NGC 4382",30.73,0.1,14,PNLF,2002ApJ...577...31C,25:24.1,+18:11:27.9,267.7,79.2,LAS+P,686
"M85; NGC 4382",30.79,...,14.4,PNLF,1990ApJ...356..332J,25:24.1,+18:11:27.9,267.7,79.2,LAS+P,686
"M85; NGC 4382",31.33,0.14,18.5,SBF,2001ApJ...546..681T,25:24.1,+18:11:27.9,267.7,79.2,LAS+P,686
"M85; NGC 4382",31.35,0.14,18.6,SBF,2001MNRAS.327.1004B,25:24.1,+18:11:27.9,267.7,79.2,LAS+P,686
"M85; NGC 4382",29.75,...,8.9,FP,LEDA [April 2006],25:24.1,+18:11:27.9,267.7,79.2,LAS+P,686
"M85; NGC 4382",30.01,0.41,10.1,FP,2001MNRAS.327.1004B,25:24.1,+18:11:27.9,267.7,79.2,LAS+P,686
"M85; NGC 4382",30.88,...,15,GC radius,2005ApJ...634.1002J,25:24.1,+18:11:27.9,267.7,79.2,LAS+P,686
VCC 0810,30.76,0.13,14.2,SBF,2004AJ....127..771J,25:33.6,+13:13:37.5,278.1,74.8,"dE0;N",-392
VCC 0810,31.16,0.22,17.1,SBF,2004AJ....127..771J,25:33.6,+13:13:37.5,278.1,74.8,"dE0;N",-392
NGC 4389,30.85,...,14.8,Tully-Fisher,2003astro.ph.10284R,25:35.1,+45:41:04.8,136.7,70.7,SBT4P*,777
NGC 4389,30.92,...,15.3,Tully-Fisher,2003astro.ph.10284R,25:35.1,+45:41:04.8,136.7,70.7,SBT4P*,777
NGC 4389,31.21,...,17.5,Tully-Fisher,2003astro.ph.10284R,25:35.1,+45:41:04.8,136.7,70.7,SBT4P*,777
NGC 4389,31.34,...,18.5,Tully-Fisher,2003astro.ph.10284R,25:35.1,+45:41:04.8,136.7,70.7,SBT4P*,777
VCC 0815,31.48,0.17,19.8,SBF,2004AJ....127..771J,25:37.1,+13:08:36.5,278.3,74.8,"dE2;N",-752
"ESO 322- G 008; NGC 4373A",31.31,0.05,18.3,SBF,1999ApJ...515...79P,25:37.7,-39:19:10.8,297.5,23.3,LA.+*/,2847
"ESO 322- G 008; NGC 4373A",32.86,0.52,37.3,SBF,2001ApJ...546..681T,25:37.7,-39:19:10.8,297.5,23.3,LA.+*/,2847
NGC 4387,31.65,0.73,21.4,SBF,2001ApJ...546..681T,25:41.7,+12:48:37.9,278.8,74.5,E,507
NGC 4387,31.39,...,19,FP,2000ApJ...529..768K,25:41.7,+12:48:37.9,278.8,74.5,E,507
NGC 4387,31.07,...,16.4,GC radius,2005ApJ...634.1002J,25:41.7,+12:48:37.9,278.8,74.5,E,507
NGC 4395,28.15,0.18,4.3,Cepheids,2004AJ....127.2322T,25:48.9,+33:32:48.3,162.1,81.5,SAS9*,337
NGC 4395,28.32,...,4.61,TRGB,2003A&A...398..467K,25:48.9,+33:32:48.3,162.1,81.5,SAS9*,337
NGC 4395,28.13,...,4.23,BS,1998A&AS..131....1K,25:48.9,+33:32:48.3,162.1,81.5,SAS9*,337
NGC 4395,28.21,...,4.39,Tully-Fisher,LEDA [April 2006],25:48.9,+33:32:48.3,162.1,81.5,SAS9*,337
VCC 0846,31.3,0.19,18.2,SBF,2004AJ....127..771J,25:50.4,+13:11:51.6,278.4,74.8,E?,-782
IC 3328,31.28,0.25,18,SBF,2004AJ....127..771J,25:57.9,+10:03:13.6,282.4,71.9,E?,939
IC 3328,30.28,...,11.4,GC radius,2005ApJ...634.1002J,25:57.9,+10:03:13.6,282.4,71.9,E?,939
"M86; NGC 4406",30.92,0.09,15.3,PNLF,2002ApJ...577...31C,26:11.7,+12:56:46.4,279.1,74.6,E.3,-302
"M86; NGC 4406",30.98,...,15.7,PNLF,1990ApJ...356..332J,26:11.7,+12:56:46.4,279.1,74.6,E.3,-302
"M86; NGC 4406",31.21,0.07,17.5,GCLF,2001AJ....121.2950K,26:11.7,+12:56:46.4,279.1,74.6,E.3,-302
"M86; NGC 4406",31.23,0.3,17.6,GCLF,1994AJ....108.2087A,26:11.7,+12:56:46.4,279.1,74.6,E.3,-302
"M86; NGC 4406",31.01,0.14,15.9,SBF,2003ApJ...583..712J,26:11.7,+12:56:46.4,279.1,74.6,E.3,-302
"M86; NGC 4406",31.06,0.1,16.3,SBF,1998ApJ...505..111J,26:11.7,+12:56:46.4,279.1,74.6,E.3,-302
"M86; NGC 4406",31.17,0.14,17.1,SBF,2001ApJ...546..681T,26:11.7,+12:56:46.4,279.1,74.6,E.3,-302
"M86; NGC 4406",31.19,0.07,17.3,SBF,1998ApJ...505..111J,26:11.7,+12:56:46.4,279.1,74.6,E.3,-302
"M86; NGC 4406",31.19,0.07,17.3,SBF,1997AJ....114..626A,26:11.7,+12:56:46.4,279.1,74.6,E.3,-302
"M86; NGC 4406",31.2,0.14,17.4,SBF,2001MNRAS.327.1004B,26:11.7,+12:56:46.4,279.1,74.6,E.3,-302
"M86; NGC 4406",31.2,0.1,17.4,SBF,1999ApJ...515...79P,26:11.7,+12:56:46.4,279.1,74.6,E.3,-302
"M86; NGC 4406",30.33,...,11.6,FP,LEDA [April 2006],26:11.7,+12:56:46.4,279.1,74.6,E.3,-302
"M86; NGC 4406",30.85,0.41,14.8,FP,2001MNRAS.327.1004B,26:11.7,+12:56:46.4,279.1,74.6,E.3,-302
"M86; NGC 4406",30.88,...,15,FP,2000ApJ...529..768K,26:11.7,+12:56:46.4,279.1,74.6,E.3,-302
"M86; NGC 4406",30.82,...,14.6,GC radius,2005ApJ...634.1002J,26:11.7,+12:56:46.4,279.1,74.6,E.3,-302
"UGCA 281; I Zw 036",28.9,0.2,5.9,TRGB,2001AJ....121.3007S,26:16.0,+48:29:36.6,134.2,68.1,S?,348
"UGCA 281; I Zw 036",28.79,0.39,5.73,BS,1997AstL...23..656G,26:16.0,+48:29:36.6,134.2,68.1,S?,348
NGC 4414,31.1,0.04,16.6,Cepheids,2003A&A...411..361K,26:27.1,+31:13:24.7,174.5,83.2,SAT5$,728
NGC 4414,31.1,0.05,16.6,Cepheids,2001ApJ...553...47F,26:27.1,+31:13:24.7,174.5,83.2,SAT5$,728
NGC 4414,31.1,0.04,16.6,Cepheids,2003A&A...411..361K,26:27.1,+31:13:24.7,174.5,83.2,SAT5$,728
NGC 4414,31.13,0.05,16.9,Cepheids,2003A&A...411..361K,26:27.1,+31:13:24.7,174.5,83.2,SAT5$,728
NGC 4414,31.15,0.11,17,Cepheids,2001ApJ...547L.103G,26:27.1,+31:13:24.7,174.5,83.2,SAT5$,728
NGC 4414,31.17,0.13,17.1,Cepheids,2001ApJ...548..564W,26:27.1,+31:13:24.7,174.5,83.2,SAT5$,728
NGC 4414,31.2,0.05,17.4,Cepheids,2003A&A...411..361K,26:27.1,+31:13:24.7,174.5,83.2,SAT5$,728
NGC 4414,31.24,0.05,17.7,Cepheids,2003A&A...411..361K,26:27.1,+31:13:24.7,174.5,83.2,SAT5$,728
NGC 4414,31.24,0.05,17.7,Cepheids,2001ApJ...553...47F,26:27.1,+31:13:24.7,174.5,83.2,SAT5$,728
NGC 4414,31.27,0.06,17.9,Cepheids,2003A&A...411..361K,26:27.1,+31:13:24.7,174.5,83.2,SAT5$,728
NGC 4414,31.27,0.05,17.9,Cepheids,2002A&A...389...19P,26:27.1,+31:13:24.7,174.5,83.2,SAT5$,728
NGC 4414,31.29,0.11,18.1,Cepheids,2001ApJ...547L.103G,26:27.1,+31:13:24.7,174.5,83.2,SAT5$,728
NGC 4414,31.34,0.06,18.5,Cepheids,2003A&A...411..361K,26:27.1,+31:13:24.7,174.5,83.2,SAT5$,728
NGC 4414,31.35,0.26,18.6,Cepheids,2002A&A...389...19P,26:27.1,+31:13:24.7,174.5,83.2,SAT5$,728
NGC 4414,31.41,0.1,19.1,Cepheids,2000ApJ...529..723G,26:27.1,+31:13:24.7,174.5,83.2,SAT5$,728
NGC 4414,31.41,0.1,19.1,Cepheids,1998ApJ...505..207T,26:27.1,+31:13:24.7,174.5,83.2,SAT5$,728
NGC 4414,31.5,0.27,20,Cepheids,2000ASPC..203..231T,26:27.1,+31:13:24.7,174.5,83.2,SAT5$,728
NGC 4414,31.62,0.09,21.1,Cepheids,2002A&A...389...19P,26:27.1,+31:13:24.7,174.5,83.2,SAT5$,728
NGC 4414,31.65,0.17,21.4,Cepheids,2006ApJS..165..108S,26:27.1,+31:13:24.7,174.5,83.2,SAT5$,728
NGC 4414,31.37,0.14,18.8,SNIa,2005ApJ...624..532R,26:27.1,+31:13:24.7,174.5,83.2,SAT5$,728
NGC 4414,31.35,0.18,18.6,Sosies,2002A&A...393...57T,26:27.1,+31:13:24.7,174.5,83.2,SAT5$,728
NGC 4414,31.25,...,17.8,Tully-Fisher,2003astro.ph.10284R,26:27.1,+31:13:24.7,174.5,83.2,SAT5$,728
NGC 4414,31.25,...,17.8,Tully-Fisher,2003astro.ph.10284R,26:27.1,+31:13:24.7,174.5,83.2,SAT5$,728
NGC 4414,31.62,...,34.5,Tully-Fisher,LEDA [April 2006],26:27.1,+31:13:24.7,174.5,83.2,SAT5$,728
VCC 0928,31.42,0.14,19.2,SBF,2004AJ....127..771J,26:39.6,+12:30:48.0,280.1,74.3,E?,-310
NGC 4415,30.86,0.14,14.9,SBF,2004AJ....127..771J,26:40.5,+08:26:08.5,284.4,70.4,S..0,757
IC 3349,31.36,0.2,18.7,SBF,2004AJ....127..771J,26:47.1,+12:27:14.3,280.2,74.2,E?,1508
NGC 4417,31.01,...,15.9,GC radius,2005ApJ...634.1002J,26:50.6,+09:35:03.0,283.5,71.5,LB..*/,787
NGC 4419,30.65,0.25,13.5,SBF,2001ApJ...546..681T,26:56.4,+15:02:50.7,276.4,76.6,SBS1./,-306
NGC 4419,31.24,0.14,17.7,SNIa,2005ApJ...624..532R,26:56.4,+15:02:50.7,276.4,76.6,SBS1./,-306
"DDO 126; UGC 07559",28.44,0.26,4.87,TRGB,2003A&A...398..467K,27:05.2,+37:08:33.3,148.6,78.7,IB.9,247
"DDO 126; UGC 07559",27.97,0.39,3.93,BS,1997AstL...23..656G,27:05.2,+37:08:33.3,148.6,78.7,IB.9,247
"DDO 126; UGC 07559",28.53,...,5.1,BS,1998A&AS..128..459M,27:05.2,+37:08:33.3,148.6,78.7,IB.9,247
NGC 4441,31.4,0.45,19,SBF,2001ApJ...546..681T,27:20.4,+64:48:05.4,127.1,52.1,LX.+P,1582
NGC 4431,30.94,0.12,15.4,SBF,2004AJ....127..771J,27:27.4,+12:17:25.2,281,74.1,LAR,745
NGC 4431,31.05,0.15,16.2,SBF,2004AJ....127..771J,27:27.4,+12:17:25.2,281,74.1,LAR,745
NGC 4434,31.98,0.17,24.9,SBF,2003ApJ...583..712J,27:36.7,+08:09:15.6,285.3,70.2,E,1004
NGC 4434,32.14,0.17,26.8,SBF,2001ApJ...546..681T,27:36.7,+08:09:15.6,285.3,70.2,E,1004
NGC 4434,32.14,0.17,26.8,SBF,2001MNRAS.327.1004B,27:36.7,+08:09:15.6,285.3,70.2,E,1004
NGC 4434,31.05,...,16.2,FP,2000ApJ...529..768K,27:36.7,+08:09:15.6,285.3,70.2,E,1004
NGC 4434,31.77,0.41,22.6,FP,2001MNRAS.327.1004B,27:36.7,+08:09:15.6,285.3,70.2,E,1004
IC 3370,32.14,0.17,26.8,SBF,2001ApJ...546..681T,27:37.3,-39:20:16.0,297.9,23.3,E.2+,2748
IC 3370,32.2,0.17,27.5,SBF,2001MNRAS.327.1004B,27:37.3,-39:20:16.0,297.9,23.3,E.2+,2748
IC 3370,32.28,0.41,28.6,FP,2001MNRAS.327.1004B,27:37.3,-39:20:16.0,297.9,23.3,E.2+,2748
"DDO 125; UGC 07577",26.98,0.07,2.49,TRGB,2002AJ....124..213M,27:40.9,+43:29:44.0,137.8,72.9,I..9,246
"DDO 125; UGC 07577",27.02,0.13,2.54,TRGB,2002A&A...389..812K,27:40.9,+43:29:44.0,137.8,72.9,I..9,246
"DDO 125; UGC 07577",28.42,...,4.83,BS,1998A&AS..128..325T,27:40.9,+43:29:44.0,137.8,72.9,I..9,246
NGC 4436,31.13,0.17,16.8,SBF,2004AJ....127..771J,27:41.2,+12:18:57.2,281.2,74.2,L,1269
NGC 4442,30.7,...,13.8,GC radius,2005ApJ...634.1002J,28:03.9,+09:48:13.0,284.2,71.8,LBS0,467
NGC 4449,28.12,0.27,4.21,TRGB,2003A&A...398..467K,28:11.9,+44:05:39.6,136.8,72.4,IB.9,255
NGC 4449,27.33,...,2.93,BS,1998A&AS..131....1K,28:11.9,+44:05:39.6,136.8,72.4,IB.9,255
NGC 4449,27.44,...,3.08,Tully-Fisher,LEDA [April 2006],28:11.9,+44:05:39.6,136.8,72.4,IB.9,255
IC 3381,31.27,0.14,18,SBF,2004AJ....127..771J,28:14.9,+11:47:23.4,282.3,73.7,E+..*,594
IC 3381,31.39,0.18,19,SBF,2004AJ....127..771J,28:14.9,+11:47:23.4,282.3,73.7,E+..*,594
IC 3381,38.48,...,12.5,GC radius,2005ApJ...634.1002J,28:14.9,+11:47:23.4,282.3,73.7,E+..*,594
NGC 4448,33.38,0.6,47.4,Sosies,2002A&A...393...57T,28:15.4,+28:37:13.1,195.4,84.7,SBR2,693
IC 3388,31.15,0.19,17,SBF,2004AJ....127..771J,28:28.1,+12:49:25.2,281.2,74.7,E?,1819
DDO 127,29.19,...,6.9,BS,1998A&AS..128..459M,28:28.6,+37:14:01.1,147.1,78.8,S..9,308
NGC 4450,31.29,0.23,18.1,Sosies,2002A&A...393...57T,28:29.6,+17:05:05.8,273.9,78.6,SAS2,1918
NGC 4450,31.6,...,20.9,Tully-Fisher,LEDA [April 2006],28:29.6,+17:05:05.8,273.9,78.6,SAS2,1918
UGC 07605,28.23,0.28,4.43,TRGB,2003A&A...398..467K,28:38.8,+35:43:02.6,151,80.1,I..9,332
UGC 07605,28.24,...,4.4,BS,1998A&AS..128..459M,28:38.8,+35:43:02.6,151,80.1,I..9,332
NGC 4460,29.91,0.19,9.59,SBF,2001ApJ...546..681T,28:45.6,+44:51:51.2,135.8,71.7,LBS+$/,583
NGC 4458,31.33,0.2,18.5,GCLF,2001AJ....121.2950K,28:57.6,+13:14:30.8,281.1,75.2,E.0+,617
NGC 4458,30.98,0.08,15.7,SBF,1997AJ....114..626A,28:57.6,+13:14:30.8,281.1,75.2,E.0+,617
NGC 4458,31.02,0.12,16,SBF,2003ApJ...583..712J,28:57.6,+13:14:30.8,281.1,75.2,E.0+,617
NGC 4458,31.18,0.12,17.2,SBF,2001ApJ...546..681T,28:57.6,+13:14:30.8,281.1,75.2,E.0+,617
NGC 4458,31.2,0.12,17.4,SBF,2001MNRAS.327.1004B,28:57.6,+13:14:30.8,281.1,75.2,E.0+,617
NGC 4458,31.28,...,18,FP,2000ApJ...529..768K,28:57.6,+13:14:30.8,281.1,75.2,E.0+,617
NGC 4458,31.56,0.41,20.5,FP,2001MNRAS.327.1004B,28:57.6,+13:14:30.8,281.1,75.2,E.0+,617
NGC 4458,30.7,...,13.8,GC radius,2005ApJ...634.1002J,28:57.6,+13:14:30.8,281.1,75.2,E.0+,617
