Galaxy Name,m-M,err,D,Method,REFCODE,RA,Dec,GLON,GLAT,Type (RC3),Vgsr (RC3)
,(mag),(mag),(Mpc),,,(J2000),(J2000),,,,(km/s)
"M106; NGC 4258",29.47,0.09,7.83,Cepheids,2001ApJ...553..562N,18:57.5,+47:18:14.2,138.3,68.8,SXS4,510
"M106; NGC 4258",29.48,0.16,7.87,Cepheids,2002A&A...389...19P,18:57.5,+47:18:14.2,138.3,68.8,SXS4,510
"M106; NGC 4258",29.49,0.12,7.9,Cepheids,2001ApJ...548..564W,18:57.5,+47:18:14.2,138.3,68.8,SXS4,510
"M106; NGC 4258",29.51,0.06,7.98,Cepheids,2001ApJ...553..562N,18:57.5,+47:18:14.2,138.3,68.8,SXS4,510
"M106; NGC 4258",29.51,0.07,7.98,Cepheids,2001ApJ...553...47F,18:57.5,+47:18:14.2,138.3,68.8,SXS4,510
"M106; NGC 4258",29.53,0.1,8.05,Cepheids,2002A&A...389...19P,18:57.5,+47:18:14.2,138.3,68.8,SXS4,510
"M106; NGC 4258",29.63,0.05,8.43,Cepheids,2006ApJS..165..108S,18:57.5,+47:18:14.2,138.3,68.8,SXS4,510
"M106; NGC 4258",29.32,0.09,7.31,TRGB,2005ApJ...633..810M,18:57.5,+47:18:14.2,138.3,68.8,SXS4,510
"M106; NGC 4258",29.4,0.1,7.59,PNLF,2002ApJ...577...31C,18:57.5,+47:18:14.2,138.3,68.8,SXS4,510
"M106; NGC 4258",29.31,0.14,7.28,SBF,2001ApJ...546..681T,18:57.5,+47:18:14.2,138.3,68.8,SXS4,510
"M106; NGC 4258",29.48,0.08,7.87,Sosies,2002A&A...393...57T,18:57.5,+47:18:14.2,138.3,68.8,SXS4,510
"M106; NGC 4258",29.43,...,7.69,Tully-Fisher,LEDA [April 2006],18:57.5,+47:18:14.2,138.3,68.8,SXS4,510
"M106; NGC 4258",29.44,...,7.73,Tully-Fisher,2003astro.ph.10284R,18:57.5,+47:18:14.2,138.3,68.8,SXS4,510
"M106; NGC 4258",29.51,...,7.98,Tully-Fisher,2003astro.ph.10284R,18:57.5,+47:18:14.2,138.3,68.8,SXS4,510
"M106; NGC 4258",29.29,...,7.2,Maser,2004AAS...205.7301H,18:57.5,+47:18:14.2,138.3,68.8,SXS4,510
"M106; NGC 4258",29.28,0.15,7.2,Maser,2002ApJ...566..833C,18:57.5,+47:18:14.2,138.3,68.8,SXS4,510
"M106; NGC 4258",29.29,...,7.2,Maser,1999Natur.400..539H,18:57.5,+47:18:14.2,138.3,68.8,SXS4,510
"M106; NGC 4258",27.59,...,3.3,SNII rad,1998ApJ...500...51W,18:57.5,+47:18:14.2,138.3,68.8,SXS4,510
"M106; NGC 4258",31.07,...,16.4,GC radius,2005ApJ...634.1002J,18:57.5,+47:18:14.2,138.3,68.8,SXS4,510
